gene14364,sNPF
gene12938,Prx3
gene12937,CG31431
gene12936,nac
gene12935,EMC6
gene12934,TBC1d7
gene12933,barr
gene12930,mio
gene7271,Rsph3
gene7273,CG33230
gene7272,kri
gene7274,Prdm13
gene45,dome
gene47,CG10600
gene46,FDY
gene40,Sec5
gene6003,TBCC
gene6004,Tbp
gene6007,Gyf
gene6009,flw
gene6008,Fkbp59
gene10836,Psf3
gene2839,Cpsf160
gene14892,DCTN4-p62
gene14893,RpS14a
gene14891,Ercc1
gene2830,RpS5a
gene14894,CG34401
gene14895,CG8745
gene11650,Ipk2
gene11655,GXIVsPLA2
gene7662,CG5758
gene7663,CG6153
gene7661,Axs
gene8146,Csl4
gene8147,ABCD
gene14094,CG33490
gene8145,CG6073
gene7668,CG5114
gene7669,pps
gene11118,HDAC3
gene11111,car
gene11112,CG11679
gene11113,CG14817
gene11114,CG4199
gene11115,NoSymbolFound
gene11117,Gen
gene10520,kra
gene1849,snRNP-U1-C
gene10837,Prosalpha3
gene10833,l(2)efl
gene1332,PIG-B
gene1333,IntS10
gene1330,y
gene1844,hdly
gene1845,CG31191
gene10527,CG6321
gene10296,Nup133
gene10297,pic
gene11341,Npl4
gene7833,qua
gene11340,CG5071
gene299,Cadps
gene298,CG10425
gene741,CG5727
gene292,CG8668
gene291,CG12991
gene297,Klp10A
gene296,Fic
gene295,gpp
gene294,Scamp
gene7832,Rok
gene11834,Mur89F
gene9233,zda
gene4312,CG8009
gene4311,CG13917
gene4866,Nrt
gene4861,CG10710
gene9540,Secp43
gene9543,Dg
gene9234,Bsg
gene4319,CG10467
gene4869,Ptp10D
gene9548,CG8405
gene10579,mRpS16
gene10578,ReepB
gene10575,trsn
gene10574,E(Pc)
gene10577,COX8
gene10576,CG8726
gene10571,CG14960
gene13075,numb
gene13077,CG34457
gene13079,CG14647
gene13078,scat
gene7830,CG2076
gene6640,CG6638
gene6644,Nc73EF
gene10790,CG9222
gene10795,Fit1
gene10797,Srr
gene10796,CG17565
gene10799,Mccc2
gene10798,Pcd
gene7111,CG7382
gene13215,CG8407
gene13214,Git
gene13217,m-cup
gene13216,CG17683
gene13210,CG1090
gene13213,Mul1
gene13212,CG8078
gene7836,NFAT
gene13219,CG1523
gene13218,CG17019
gene7835,CG17068
gene125,CG43394
gene127,Cln3
gene126,Galphai
gene2018,raw
gene2013,mRpL46
gene13870,CG31121
gene7060,kis
gene2541,fab1
gene2542,CG6362
gene2543,CG10960
gene16241,pip
gene16245,Ythdc1
gene16244,Uba2
gene16246,Msr-110
gene6254,Rab14
gene6255,NoSymbolFound
gene6252,Asx
gene6253,CycY
gene12037,Pat1
gene12035,CG13369
gene12030,NoSymbolFound
gene12031,Sec6
gene16069,Ir87a
gene12038,CG14977
gene12039,CG7065
gene507,CRMP
gene2389,sqa
gene822,pigeon
gene3763,CG10064
gene10742,CG6420
gene3760,Parp
gene3764,Rassf
gene10741,DppIII
gene12983,scaf6
gene4086,CG3085
gene6544,sfl
gene4089,ringer
gene4088,Art7
gene15267,Orai
gene6546,CG15432
gene6547,park
gene14798,rtp
gene14797,Oat
gene14790,RpL26
gene11560,CG5189
gene11569,STUB1
gene11568,CG17593
gene5689,Fer3HCH
gene5685,CG14626
gene5683,CG18675
gene11305,Tab2
gene11304,CG12343
gene11306,CG5937
gene5272,CG7806
gene11309,Usp15-31
gene6816,Pdfr
gene6814,Hsp60A
gene6812,MED15
gene6810,cbt
gene6811,l(2)gd1
gene6818,Cyp4d1
gene8559,Snr1
gene8558,PIG-L
gene5356,CG4806
gene5357,Art3
gene5352,CG34236
gene5353,Spase22-23
gene14131,Cad86C
gene14130,shd
gene5358,CG5731
gene5359,Sox102F
gene8557,CHOp24
gene8556,PIG-Z
gene4854,CG9170
gene8080,Tes
gene4850,CG3407
gene10962,Csas
gene10961,CG5280
gene10967,CG40498
gene10964,TBC1D16
gene5238,CG31559
gene5235,CG16979
gene5234,NTPase
gene5233,Prosalpha7
gene5232,Cpsf6
gene5231,CG4281
gene8371,Patr-1
gene358,NoSymbolFound
gene359,Arp8
gene8339,svr
gene8338,CG3009
gene8889,CG5003
gene352,dysf
gene350,Drat
gene351,Vps16B
gene356,CG5938
gene357,CG5934
gene8333,CG7332
gene355,CG5009
gene3257,NoSymbolFound
gene8372,Ufc1
gene3704,Sk2
gene3700,MED10
gene8379,Cyp6a23
gene3250,CG4598
gene12188,ema
gene12189,Mt2
gene9934,Dpm1
gene9683,CG3987
gene9936,Pepck1
gene3993,Rgl
gene3994,olf186-M
gene3995,tud
gene9932,fa2h
gene9933,NoSymbolFound
gene1040,Ir25a
gene1044,CG15365
gene1049,NoSymbolFound
gene2227,CG14341
gene2220,Ir85a
gene2223,Ide
gene9066,CG8004
gene9067,pio
gene9064,26-29-p
gene9065,RpL23
gene9062,CG10257
gene2228,Ttc7
gene9060,Gad1
gene9061,Faa
gene5901,Mp20
gene3574,Dbp73D
gene3575,fry
gene3572,CG15120
gene3573,lds
gene5907,CG30338
gene3571,CG5359
gene5908,APC10
gene13688,pea
gene13680,CG6218
gene13681,CG1607
gene13687,rswl
gene1596,CG14892
gene1597,Tango10
gene1595,CG10345
gene1593,NoSymbolFound
gene1598,Galphaq
gene13530,Ublcp1
gene13531,Elp2
gene13539,CG17669
gene2483,CG6693
gene2484,twr
gene2486,Snx27
gene2488,Pxd
gene12957,Vrp1
gene12952,ry
gene12959,Miro
gene67,CG4587
gene65,CG18265
gene62,CG33181
gene61,Mgat2
gene60,CG6180
gene69,ewg
gene7215,Dys
gene7214,FucTA
gene7213,HDAC4
gene9324,CG10466
gene14646,Pld3
gene4247,sPLA2
gene7219,CG9782
gene7218,CG3777
gene6067,ase
gene9326,LRP1
gene3689,csul
gene3961,CG43861
gene3960,MBD-like
gene3963,CG34133
gene3962,Fmr1
gene2812,CG11110
gene2810,oc
gene14301,Rad1
gene14304,Pdhb
gene14305,SIFaR
gene2819,CG6865
gene3968,m
gene4741,CG3857
gene4742,RIOK1
gene4743,Dbp45A
gene11170,stg1
gene13139,CG3781
gene1868,TTLL6B
gene1862,S6kII
gene13715,CG11655
gene13711,CG7744
gene9218,Rs1
gene11799,CG34353
gene13712,Gas41
gene9211,Sps1
gene4330,tral
gene4293,Snmp2
gene9215,Mad1
gene4337,CG8485
gene10553,CG10602
gene10552,Nup44A
gene10554,DhpD
gene10559,CG42524
gene13054,CG1812
gene13051,sing
gene6661,Hs2st
gene6660,ATP6AP2
gene6667,CG10444
gene6669,CG7849
gene6668,msl-1
gene10132,B4
gene723,Art4
gene720,CG30116
gene727,cd
gene726,CG5001
gene729,CG31460
gene728,Klp31E
gene11406,unc-104
gene11405,ND-75
gene7042,Uggt
gene2563,blot
gene7040,sub
gene2561,babo
gene7046,TM9SF2
gene7047,Acn
gene2564,hiw
gene7045,Mccc1
gene2568,Reg-2
gene2569,hig
gene16264,ABCA
gene6276,CSN6
gene6274,CG32032
gene16260,anox
gene6278,CG11077
gene6279,Dh44
gene13949,Set
gene5098,Noa36
gene13233,CG8420
gene13232,dnd
gene13231,CG6678
gene13942,CG17127
gene13237,Def
gene13235,St2
gene13946,CG7991
gene12549,l(3)73Ah
gene12018,CG6951
gene12019,CG15236
gene12540,shep
gene12010,CG8128
gene12012,snama
gene12545,metl
gene1678,CG1738
gene1672,timeout
gene1677,wds
gene1676,Droj2
gene1675,sba
gene1674,CG13326
gene3213,CG9643
gene3212,vimar
gene3211,CG17187
gene3210,Tudor-SN
gene4537,CG1161
gene4536,Gmd
gene3747,lap
gene4534,NaPi-T
gene3748,ArgRS-m
gene3219,CG10657
gene3218,CG4880
gene15798,Prp8
gene15799,Pu
gene15538,SmD1
gene15248,CG1951
gene15249,AIMP1
gene15244,Bet5
gene15245,CG11317
gene15246,SCCRO4
gene15247,FRG1
gene15536,Cpsf5
gene15537,CG16984
gene15534,Nca
gene15243,EloA
gene2041,CG1673
gene2043,CG14207
gene7030,rumi
gene2044,Gasz
gene11095,CG34232
gene8858,CG6340
gene11545,Hel89B
gene11096,ppk13
gene11543,CG5757
gene11542,CG6388
gene11092,Br140
gene11099,CG4020
gene11098,CG15373
gene11549,Ssb-c31a
gene11548,CG7488
gene9585,fd59A
gene7039,Archease
gene389,PMCA
gene921,CG10214
gene5378,UBL3
gene5373,toy
gene5371,CG4393
gene5374,tsl
gene9336,nompA
gene14119,Pfdn5
gene8535,Sik3
gene8534,RpI1
gene8533,Cals
gene8531,Tom7
gene8530,Phae2
gene10940,CG12253
gene10944,CG5098
gene10945,CG9853
gene5214,tko
gene5212,CG11263
gene16299,stx
gene11328,CG4098
gene11895,MsrA
gene11894,Or49b
gene11896,MYPT-75D
gene11327,MED1
gene10052,Taz
gene10057,CG9701
gene14629,Cp1
gene7031,CG8111
gene9912,HemK2
gene9913,Snapin
gene9911,eco
gene9916,NoSymbolFound
gene9917,Dlc90F
gene9914,NoSymbolFound
gene9104,CG10137
gene4296,su(r)
gene9918,CG11396
gene9919,ND-B22
gene4292,PHGPx
gene9107,RpII215
gene9454,CG2126
gene14152,vap
gene9450,sav
gene9522,Grip75
gene1064,Scgbeta
gene7702,CG14238
gene1063,CG5641
gene1060,alphaTub84B
gene14625,msl-3
gene14624,form3
gene14626,aft
gene5967,Dh44-R1
gene5965,NoSymbolFound
gene5968,NitFhit
gene13556,Pop5
gene13557,CG13081
gene13555,CG11594
gene13553,nemy
gene13550,IA-2
gene13558,CG13082
gene7187,ClpP
gene12979,sud1
gene7182,olf413
gene7180,CG5958
gene16036,CG4266
gene12971,Suv3
gene12970,Scgalpha
gene12977,CG8858
gene12975,CG6847
gene6596,gbb
gene6593,CG2200
gene6592,Flacc
gene6591,Xxylt
gene6590,CG10126
gene3515,CG2990
gene3516,Pka-R1
gene3511,eIF1
gene3512,CG13887
gene3513,CG33054
gene11505,CG4858
gene2609,mle
gene2608,Myd88
gene2607,syd
gene2606,Srp9
gene2605,CG12909
gene2604,CG7484
gene6041,CG31689
gene6040,mRpL49
gene6042,CG16800
gene5584,Tim9a
gene5587,CG14431
gene5582,NoSymbolFound
gene14321,Surf6
gene14322,ato
gene12209,CG8910
gene12208,CG6472
gene12201,CG33156
gene12200,Reps
gene11154,MFS17
gene11155,dia
gene11157,CG4036
gene4768,Prosap
gene11153,Sgt1
gene4764,smg
gene4765,CG14770
gene4762,asp
gene11159,CG2127
gene4761,Tnpo-SR
gene1804,CG9876
gene1801,wapl
gene1802,CG8507
gene1803,CG3342
gene1808,Mlc1
gene13836,CG4797
gene9279,Pal2
gene4358,Cht6
gene4357,mRpL38
gene4356,CG1927
gene4354,RecQ4
gene4353,CG10283
gene14661,glo
gene6604,sky
gene6603,polo
gene246,PGRP-SC2
gene6608,Dredd
gene7959,nbs
gene709,Kank
gene708,CG33785
gene259,NK7.1
gene258,HGTX
gene8270,edl
gene8271,CG13192
gene707,Plekhm1
gene8273,Pgant1
gene8274,CG14445
gene700,Ca-Ma2d
gene7956,GckIII
gene250,SK
gene9499,CG8679
gene9498,CG8060
gene9497,NoSymbolFound
gene9496,Vha44
gene4975,Ugt36D1
gene9494,NoSymbolFound
gene7821,Spag1
gene5008,AlkB
gene5009,Vha36-1
gene13039,Tob
gene13035,Bre1
gene13034,corn
gene13030,CG6843
gene13033,CG10973
gene12786,hkb
gene12781,Rab3
gene10013,inaD
gene13783,CG6028
gene13782,E5
gene13786,Mitofilin
gene13785,mRpL35
gene13966,Ssrp
gene13965,CG34140
gene13964,B52
gene13963,milt
gene12563,CG17454
gene12564,CG16972
gene12565,CG2246
gene12568,CG42375
gene1651,CG11060
gene1650,CAH3
gene1653,trr
gene1657,aralar1
gene1659,CG15537
gene4519,LManII
gene3238,Snup
gene3237,CG5964
gene3727,NoSymbolFound
gene3723,ebi
gene15518,CG8519
gene15519,GluRIB
gene9356,Cog1
gene4409,CG42671
gene4408,CG5316
gene7963,CG6024
gene7962,CG10038
gene6856,RluA-1
gene5804,Syx13
gene6858,Pka-C3
gene5390,Nna1
gene5391,CG2004
gene7968,CG5789
gene3360,CG9915
gene7723,CycB3
gene7722,Sec63
gene8517,CG6980
gene8040,Taf10
gene8511,NoSymbolFound
gene8046,CG9674
gene8045,CG6652
gene8044,ABCB7
gene8049,beat-VI
gene8048,RpL24-like
gene14179,CG30428
gene14178,pre-mod(mdg4)-W
gene11526,qjt
gene11522,CG14154
gene10698,nmdyn-D7
gene10699,RYa
gene10694,hop
gene10695,CG7945
gene10690,AMPKalpha
gene7899,lin-28
gene7898,Blimp-1
gene7891,ast
gene7890,ste14
gene7892,CG12730
gene7894,Orc3
gene10079,CG10428
gene9646,TTLL12
gene9647,Naa40
gene9397,Nf-YC
gene9392,qvr
gene9393,CG14995
gene9649,CG15696
gene4800,CG30022
gene1009,nAChRbeta2
gene5030,mab-21
gene1004,Eh
gene1005,EloB
gene1006,HHEX
gene1001,ro
gene1002,Hrb87F
gene1003,CG12344
gene9028,DCTN6-p27
gene9029,unpg
gene9022,CG13032
gene9026,Lnpk
gene9027,CG15093
gene9024,Lasp
gene9025,CG11593
gene9316,BTBD9
gene14079,Osi11
gene13570,CG9426
gene13573,CG15673
gene8164,Indy
gene7647,Mo25
gene7640,Pink1
gene14424,pre-mod(mdg4)-P
gene14071,Osi3
gene3532,CG2310
gene3533,Nak
gene3531,NoSymbolFound
gene3536,Dnai2
gene5948,CG4702
gene3534,CG10948
gene3535,CG12012
gene5945,CG32040
gene3538,Arpc1
gene3539,Dph1
gene5941,CG8300
gene5940,CG9400
gene5943,Zfrp8
gene5942,CG2556
gene12862,Lkb1
gene13003,Skp2
gene12198,CG4829
gene29,colt
gene28,Gel
gene2627,CG1889
gene2626,CG30281
gene23,erm
gene2628,Ccn
gene27,Rpn1
gene26,RSG7
gene25,GlcAT-P
gene14349,CG14483
gene14344,mamo
gene2905,l(3)04053
gene14340,obst-A
gene14341,obst-B
gene12229,CG13603
gene12228,CG15118
gene12227,Sep4
gene12225,CG4678
gene12222,MFS10
gene12221,Etl1
gene11644,CG31908
gene3399,CG15615
gene3396,CG42381
gene3397,mei-38
gene3394,PIG-M
gene11646,Trp1
gene11131,I-2
gene11643,C1GalTA
gene4706,cmb
gene4707,rudhira
gene4700,CCT4
gene4701,senju
gene4702,Marc
gene4708,Traf6
gene4709,Sbf
gene1398,ppan
gene1823,spz
gene1396,CG14488
gene1397,CG1074
gene1392,Snx3
gene1393,NoSymbolFound
gene12440,nero
gene11356,yellow-k
gene4374,Src64B
gene9256,CG14982
gene9251,Spec2
gene4370,Eip63E
gene4373,Papst2
gene11355,Echs1
gene4379,ATPsynD
gene4731,bon
gene10264,Phax
gene10261,Lpin
gene10260,Dhc64C
gene10263,Ccs
gene5885,Naxd
gene12428,ChLD3
gene14684,poe
gene6628,mEFG1
gene16338,mav
gene6623,nrv3
gene14682,Fbl6
gene8700,Rab9
gene278,CG11811
gene8702,ct
gene8703,Sep1
gene8706,CG9521
gene8707,CG2201
gene8708,Asator
gene8709,Mybbp1A
gene7975,CG2841
gene7972,CG2608
gene274,Klp64D
gene7970,Wdfy2
gene7971,Exo84
gene4950,ZnT63C
gene4953,Pex16
gene4955,Oscillin
gene4954,bmm
gene4956,Best1
gene10483,CG10927
gene10485,CheA84a
gene10484,fra
gene10487,CG5493
gene10486,or
gene183,CG10365
gene182,Spn27A
gene181,CG5880
gene5025,CG13397
gene5023,tx
gene184,Dl
gene189,Ino80
gene13013,iav
gene13012,Nuak1
gene13010,twf
gene13015,omd
gene13014,CG32801
gene13019,MED9
gene13018,Dgp-1
gene10198,ND-18
gene981,Cyp1
gene987,CG8671
gene986,Hen1
gene985,CG34195
gene13905,mEFTu1
gene13904,Ran
gene13901,Syx1A
gene13900,CG12093
gene12506,hgo
gene12507,mts
gene12505,Caf1-55
gene12503,papi
gene15088,CG8003
gene12508,Rack1
gene1637,vtd
gene1635,CG10055
gene1634,CG12065
gene1633,arx
gene2395,Myo95E
gene1639,CG5377
gene1638,CCT1
gene3709,Vps8
gene3708,ICA69
gene4579,Egfr
gene4578,CG14964
gene3705,CG10809
gene4576,CG15712
gene3255,Nmda1
gene3254,Rab10
gene3253,tilB
gene4572,sls
gene3251,TbCMF46
gene4570,Chchd3
gene767,CG14965
gene10951,maf-S
gene15281,Cyp6a2
gene8785,CG33557
gene8786,Zyx
gene15570,CG9133
gene14603,temp
gene7370,botv
gene7371,CG10621
gene7372,MED11
gene6363,uzip
gene6364,Miga
gene6365,l(2)37Cd
gene6366,TfIIB
gene5626,CG15083
gene5629,Snmp1
gene5829,yem
gene14486,brm
gene8069,CG3704
gene8068,Sxl
gene5245,lsn
gene8061,Ythdf
gene7700,Nopp140
gene8063,Kr-h1
gene8062,Alg9
gene7705,GC1
gene7704,CG3630
gene8067,CG9164
gene8066,pll
gene9569,CG31142
gene4847,CG1628
gene11501,CG8401
gene11506,Ttc26
gene11057,CG44013
gene4845,SkpA
gene10672,CG33108
gene10905,CG13937
gene10670,CG7556
gene10676,NoSymbolFound
gene10675,Snap25
gene10678,Pkc98E
gene10679,CG13202
gene13791,Cht10
gene4841,ATP8A
gene3812,AnxB9
gene14201,ash2
gene8391,CG3655
gene8390,Amnionless
gene14206,slo
gene10017,CG9601
gene10014,betaTub85D
gene10015,Gp210
gene8302,rho-4
gene9628,Odc1
gene9629,grsm
gene8308,CG13618
gene9621,RpS17
gene9623,CG10513
gene515,Cand1
gene516,Fur1
gene510,ens
gene511,CG9149
gene512,CG2277
gene513,CG33096
gene1020,Oct-TyrR
gene1021,CG7470
gene13093,Tpst
gene12392,CG33635
gene13090,CG10465
gene13592,NoSymbolFound
gene13593,CG42233
gene13596,kay
gene7142,CG5823
gene7141,CG4210
gene7147,CG31100
gene2394,insc
gene2397,Tim17b
gene2396,CG5376
gene2399,Ctl2
gene2398,CkIIbeta
gene6553,CG11808
gene6552,CG3662
gene6551,tim
gene6557,dock
gene6556,Arr1
gene15523,AcCoAS
gene6558,fwe
gene2647,CAH1
gene2646,amos
gene2641,LeuRS-m
gene16415,anchor
gene6085,Yip1d1
gene6084,kek1
gene6086,kek2
